DRUNK_DR,ID
"('p', 'r', 'o', 'b')",0
"('p', 'r', 'o', 'b')",1
"('p', 'r', 'o', 'b')",2
"('p', 'r', 'o', 'b')",3
"('p', 'r', 'o', 'b')",4
"('p', 'r', 'o', 'b')",5
"('p', 'r', 'o', 'b')",6
"('p', 'r', 'o', 'b')",7
"('p', 'r', 'o', 'b')",8
"('p', 'r', 'o', 'b')",9
"('p', 'r', 'o', 'b')",10
"('p', 'r', 'o', 'b')",11
"('p', 'r', 'o', 'b')",12
"('p', 'r', 'o', 'b')",13
"('p', 'r', 'o', 'b')",14
"('p', 'r', 'o', 'b')",15
"('p', 'r', 'o', 'b')",16
"('p', 'r', 'o', 'b')",17
"('p', 'r', 'o', 'b')",18
"('p', 'r', 'o', 'b')",19
"('p', 'r', 'o', 'b')",20
"('p', 'r', 'o', 'b')",21
"('p', 'r', 'o', 'b')",22
"('p', 'r', 'o', 'b')",23
"('p', 'r', 'o', 'b')",24
"('p', 'r', 'o', 'b')",25
"('p', 'r', 'o', 'b')",26
"('p', 'r', 'o', 'b')",27
"('p', 'r', 'o', 'b')",28
"('p', 'r', 'o', 'b')",29
"('p', 'r', 'o', 'b')",30
"('p', 'r', 'o', 'b')",31
"('p', 'r', 'o', 'b')",32
"('p', 'r', 'o', 'b')",33
"('p', 'r', 'o', 'b')",34
"('p', 'r', 'o', 'b')",35
"('p', 'r', 'o', 'b')",36
"('p', 'r', 'o', 'b')",37
"('p', 'r', 'o', 'b')",38
"('p', 'r', 'o', 'b')",39
"('p', 'r', 'o', 'b')",40
"('p', 'r', 'o', 'b')",41
"('p', 'r', 'o', 'b')",42
"('p', 'r', 'o', 'b')",43
"('p', 'r', 'o', 'b')",44
"('p', 'r', 'o', 'b')",45
"('p', 'r', 'o', 'b')",46
"('p', 'r', 'o', 'b')",47
"('p', 'r', 'o', 'b')",48
"('p', 'r', 'o', 'b')",49
"('p', 'r', 'o', 'b')",50
"('p', 'r', 'o', 'b')",51
"('p', 'r', 'o', 'b')",52
"('p', 'r', 'o', 'b')",53
"('p', 'r', 'o', 'b')",54
"('p', 'r', 'o', 'b')",55
"('p', 'r', 'o', 'b')",56
"('p', 'r', 'o', 'b')",57
"('p', 'r', 'o', 'b')",58
"('p', 'r', 'o', 'b')",59
"('p', 'r', 'o', 'b')",60
"('p', 'r', 'o', 'b')",61
"('p', 'r', 'o', 'b')",62
"('p', 'r', 'o', 'b')",63
"('p', 'r', 'o', 'b')",64
"('p', 'r', 'o', 'b')",65
"('p', 'r', 'o', 'b')",66
